item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,merchant-shipping-group,status,Minimum order quantity,Sell remainder
Spigen S350 Ständer Ladestation Entwickelt für Apple Watch Ultra 3/2/1 und Serie 11/10/9/8/7/6/5/SE/4/3/2/1 - Weiß,"Der Apple Watch Stand S350 von Spigen ist komplett aus kratzfreiem TPU gefertigt und bietet ein Minimum an Ästhetik und intelligente Funktionalität. Es verfügt über eine Unterlippe, die Ihre Uhr auf der Seite hält, um Stabilität zu gewährleisten und ein Pendeln der Uhr zu verhindern. Ein exakter Ladeausschnitt sorgt für passgenaue Passgenauigkeit und einfache Handhabung.",1010BR6UK7V,000CD21181PAN,14.99,,10/10/2024 08:52:44 MEST,,y,4,,,11.0,,,,B01MS0555B,,,,,,8809522191850,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
"Spigen Handyhalterung Auto Magnet, KFZ Lüftung Halterung, Hexagon Design 360° Drehbar Kompatibel mit iPhone 17/16/15 (Pro/Max/Air), Samsung Galaxy S25 (Ultra/Plus), Pixel 10 9 8 Pro Fold XL - Schwarz",Spigen,0423X5JFC5Z,000CG20879PAN,17.99,,23/04/2020 05:34:03 MEST,,y,4,,,11.0,,,,B01M1I8N5F,,,,,,8809466649448,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
"Spigen Universal Handyhalterung Auto, 360° Drehbar KFZ Halterung für Armaturenbrett und Windschutzscheibe, Kompatibel mit iPhone 17/16 (Pro/Max/Air), Samsung Galaxy S25 (Ultra), Pixel 10 (Pro/Fold/XL)",Spigen,0423X5SK6VL,000CG20917PAN,19.99,,23/04/2020 05:26:07 MEST,,y,4,,,11.0,,,,B01LY91ING,,,,,,8809466649820,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen U100 Universal Kickstand kompatibel mit jedem Handy - Schwarz (US-Patent angemeldet),"Der Spigen U100 Universal Metal Kickstand wurde für Verbraucher entwickelt, die nach einer Innovation suchen, die das Freihanderlebnis mit einem mobilen Gerät besticht. Es lässt sich problemlos an alle Mobilgeräte und Handyhüllen anbringen und verfügt über die One-Touch-Technologie, die über die halbautomatische Federspannung verfügt und müheloses Öffnen ermöglicht. Erleben Sie unseren wegweisenden Ständer, der zweifellos zu einem bequemeren mobilen Lebensstil führen wird.",0417XRXBMWP,000EM20860PAN,9.99,,17/04/2020 20:41:45 MEST,,y,4,,,11.0,,,,B01LW6NN8T,,,,,,8809466649257,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
Spigen Kuel [A210] Metallplatten für Magnetische KFZ Handyhalterung mit 3M Kleber - 4er Pack (2 Runde 2 Rechteckige),,0423X5Q1RUM,000EP20342PAN,11.99,,23/04/2020 05:34:40 MEST,,y,4,,,11.0,,,,B01E4U4X1I,,,,,,8809466644757,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
"Spigen Universal Handyhalterung Fahrrad,Schließsystem, Motorrad Handyhalterung Lenker mit 【Universal-Adapter】 für iPhone, Galaxy, usw. Für Optimale Blickwinkel (2019)","Spigen Handyhalterung Fahrrad, Universal Handyhalterung mit Schließsystem, Mottorad Handyhalterung Lenker mit 【Universal-Adapter】, Wasserdichter Schutz für iPhone, Galaxy, Pixel und alle Smartphones",0510Z4BD8UW,000MP25056PAN,23.99,,10/05/2022 05:00:53 MEST,,y,1,,,11.0,,,,B07MJDY3VM,,,,,,B07MJDY3VM,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
"Spigen Handyhalterung Fahrrad, Universal Handyhalterung mit Schließsystem, Motorrad Halterung mit 【Universal-Adapter】, Vorbau-Fahrradhalterung, Halterung Lenker für Optimalen Blickwinkel (2019)","Spigen Handyhalterung Fahrrad, Universal Fahrrad Motorrad Handyhalterung mit Schließsystem 【Universal-Adapter】, Wasserdicht Vorbau-Fahrradhalterung für iPhone, Galaxy, Pixel und alle Smartphones",0510Z4DTGH5,000MP25057PAN,21.99,,10/05/2022 04:51:03 MEST,,y,1,,,11.0,,,,B07MQ7FZZT,,,,,,B07MQ7FZZT,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
Spigen Style Ring 360 Handy Ring/Handy Griff/Ständer/Halter für alle Handys und Tablets kompatibel mit Magnetic Car Mount - Gun Metal,"Spigen ist gegründet im Jahr 2008 und seitdem sind unsere Produkte weltweit erhältlich. Was macht unser Produkt einzigartig? Slim Protection. Pünktliche Verfügbarkeit. Große Auswahl an Geräten. Erstklassige Qualität. Unser Ziel ist es, der Branchenführer für mobiles Zubehör zu sein. Unser Ziel ist es, die besten Standards für unsere Produkte zu setzen und gleichzeitig kontinuierlich an der Produktentwicklung zu arbeiten.",0417XRZ0LYP,000SR24433PAN,18.99,,17/04/2020 20:41:45 MEST,,y,4,,,11.0,,,,B07F1Z9WTL,,,,,,8809613760118,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
Spigen S370 Ständer Ladestation Entwickelt für Apple Watch Ultra 3/2/1 und Serie 11/10/9/8/7/6/5/SE/4/3/2/1 - Holz,Technologie trifft Natur mit unserem neuen Holzständer S370. Der aus 100% Premium-Bambus gefertigte Ständer ist optisch schlank und fühlt sich glatt an. Mit einem präzisen Ausschnitt für Ihr Apple Watch-Induktionsladegerät und einem bequemen Steckplatz für Ihr iPhone-Gerät bietet dieser Ständer den ultimativen Komfort für Ihre täglichen Lade- und Docking-Anforderungen.,0416XOUX5C6,000ST20295PAN,16.99,,16/04/2020 02:07:21 MEST,,y,4,,,11.0,,,,B01DOQ5QMS,,,,,,8809466644443,,,,AMAZON_EU,Standardvorlage Amazon,Active,,
"Spigen Rugged Armor Hülle Kompatibel mit iPhone SE, iPhone 5s und iPhone 5 -Schwarz","Entwickelt für das Rund-um Schutz des Handys, sodass alle Anschlüsse und Buttons bestens zu erreichen sind; Die Air Cushion Technologie ist in den meisten Hüllen integriert speziell für den Eckschutz; Der erhöhte Rand rund um das Display und Kamera schützt diese vor Kratzer und Brüchen",0420XXBV8X2,041CS20167PAN,14.99,,20/04/2020 09:11:12 MEST,,y,4,,,11.0,,,,B01BEDNUDK,,,,,,8809466643460,,,,AMAZON_EU,Standardvorlage Amazon,Active,,False
